"","combo","total"
"1","read:'activity'",1
"2","read:'email'",11
"3","read:'input_method'",1
"4","read:'observer'",1
"5","read:'public_profile'",15
"6","read:'publish_actions'",1
"7","read:'user_birthday'",2
"8","read:'user_friends'",3
"9","read:'user_photos'",2
"10","read:'user_status'",1
"11","read:'user_videos'",1
"12","read:'wishlists'",1
"13","write:'activity'",1
"14","write:'logging_in'",1
"15","write:'public_profile'",4
"16","write:'publish_actions'",11
"17","write:'publish'",3
"18","write:'user_friends'",1
