app,type,permission
bn.ereader.apk,read,'public_profile'
bn.ereader.apk,write,'public_profile'
com.amazon.mShop.android.shopping.apk,read,'public_profile'
com.aws.android.apk,read,'public_profile'
com.aws.android.apk,read,'public_profile'
com.aws.android.apk,read,'email'
com.aws.android.apk,read,'user_birthday'
com.aws.android.apk,read,'public_profile'
com.aws.android.apk,read,'email'
com.aws.android.apk,read,'user_birthday'
com.bitstrips.imoji,write,'logging_in'
com.booking.apk,read,'wishlists'
com.booking.apk,read,'email'
com.buzzfeed.android.apk,read,'email'
com.buzzfeed.android.apk,write,'publish_actions'
com.clearchannel.iheartradio.controller.apk,read,'activity'
com.clearchannel.iheartradio.controller.apk,read,'observer'
com.clearchannel.iheartradio.controller.apk,write,'activity'
com.cmcm.live,read,'public_profile'
com.cmcm.live,read,'user_birthday'
com.cmcm.live,read,'email'
com.cmcm.live,read,'user_friends'
com.cmcm.live,write,'publish_actions'
com.cnn.mobile.android.phone.apk,write,'publish'
com.contacts1800.ecomapp.apk,write,'publish'
com.digidust.elokence.akinator.freemium.apk,write,'user_friends'
com.digidust.elokence.akinator.freemium.apk,write,'publish_actions'
com.digidust.elokence.akinator.freemium.apk,write,'publish_actions'
com.digidust.elokence.akinator.freemium.apk,read,'user_friends'
com.duolingo,read,'public_profile'
com.emn8.mobilem8.nativeapp.bk,write,'public_profile'
com.emn8.mobilem8.nativeapp.bk,read,'public_profile'
com.energysh.drawshow,write,'publish_actions'
com.expedia.bookings.apk,read,'email'
com.fishbrain.app,write,'publish_actions'
com.fishbrain.app,read,'publish_actions'
com.hp.pregnancy.lite.apk,write,'public_profile'
com.jb.gosms.apk,write,'publish_actions'
com.move.realtor.apk,read,'user_status'
com.nascar.nascarmobile,write,'publish'
com.oovoo.apk,read,'public_profile'
com.oovoo.apk,write,'public_profile'
com.ovuline.pregnancy,read,'input_method'
com.ovuline.pregnancy,read,'public_profile'
com.ovuline.pregnancy,read,'email'
com.picsart.studio.apk,write,'publish_actions'
com.pinterest.apk,read,'public_profile'
com.quvideo.xiaoying.apk,read,'public_profile'
com.quvideo.xiaoying.apk,read,'user_photos'
com.quvideo.xiaoying.apk,read,'user_videos'
com.relayrides.android.relayrides.apk,read,'email'
com.roidapp.photogrid.apk,read,'user_photos'
com.sgiggle.production.apk,read,'public_profile'
com.sgiggle.production.apk,write,'publish_actions'
com.sirma.mobile.bible.android,read,'email'
com.sirma.mobile.bible.android,read,'public_profile'
com.sirma.mobile.bible.android,read,'email'
com.sirma.mobile.bible.android,read,'public_profile'
com.smule.magicpiano,write,'publish_actions'
com.smule.magicpiano,read,'public_profile'
com.smule.singandroid.apk,write,'publish_actions'
com.smule.singandroid.apk,read,'public_profile'
com.target.socsav,read,'public_profile'
com.target.socsav,read,'user_friends'
com.target.socsav,read,'email'
com.target.socsav,read,'user_friends'
com.target.socsav,read,'email'
com.target.socsav,read,'user_friends'
com.target.socsav,write,'publish_actions'
com.target.socsav,read,'email'
com.target.socsav,read,'user_friends'
com.target.socsav,read,'user_friends'
com.target.socsav,read,'user_friends'
com.wishabi.flipp,read,'email'
com.wishabi.flipp,read,'email'
org.khanacademy.android,read,'email'
